OID_,src_FID,nbr_FID,LENGTH,NODE_COUNT
152,26,9,0.048727372752692,0
153,26,11,0.101649428823111,0
154,26,79,0.180883989293753,0
155,27,7,0.100204637792677,0
156,27,11,0.170919321184968,0
157,27,94,0.119652289989082,0
158,27,179,0.129314315494402,0
159,28,1,0.046639268571088,0
160,28,29,0.058576148323347,0
161,28,30,0.009017847336521,0
162,28,32,0.071662361164222,0
163,28,34,0.065850385713560,0
164,29,28,0.058576148323347,0
165,29,30,0.044460298251833,0
166,29,32,0.021364159764305,0
167,29,33,0.064725210131199,0
168,29,34,0.061807350481213,0
169,30,1,0.047995806802016,0
170,30,28,0.009017847336521,0
171,30,29,0.044460298251833,0
172,30,32,0.053513794391392,0
173,30,33,0.064081926433945,0
174,31,0,0.010392115801322,0
175,31,2,0.023784421740366,0
176,31,3,0.103159176220855,0
177,31,4,0.070649570692443,0
178,31,86,0.120331387720660,0
179,31,95,0.137095689706191,0
180,31,102,0.052337800861898,0
181,31,104,0.131557900023551,0
182,31,160,0.092135785426889,0
183,32,28,0.071662361164222,0
184,32,29,0.021364159764305,0
185,32,30,0.053513794391392,0
186,33,0,0.129566735346948,0
187,33,1,0.095000601811113,0
188,33,29,0.064725210131199,0
189,33,30,0.064081926433945,0
190,34,1,0.107458487603003,0
191,34,28,0.065850385713560,0
192,34,29,0.061807350481213,0
193,35,5,0.133424864651661,0
194,35,11,0.039738120602135,0
195,35,36,0.261612898944508,0
196,35,179,0.092229585484306,0
197,36,5,0.156450870718313,0
198,36,35,0.261612898944508,0
199,36,133,0.316017452004829,0
200,36,179,0.022951077050221,0
201,37,44,0.116784318945831,0
202,37,147,0.147930785642879,0
203,37,182,0.134298376899333,0
204,38,41,0.243972612721689,0
205,38,42,0.112667627968582,0
206,38,138,0.000113933871152,0
207,38,159,0.134258743465203,0
208,39,42,0.100677165755649,0
209,39,43,0.106324299191037,0
210,39,44,0.138271280479224,0
211,39,147,0.016393222782300,0
212,40,41,0.094352942326611,0
213,40,42,0.037788442280310,0
214,40,49,0.032416724698687,0
215,40,50,0.108291430454424,0
216,40,70,0.095321727608421,0
217,40,93,0.084009932651613,0
218,41,38,0.243972612721689,0
219,41,40,0.094352942326611,0
220,41,42,0.100272271122989,0
221,41,93,0.157810853433516,0
222,41,128,0.083225036696823,0
223,41,159,0.144025434697639,0
224,42,38,0.112667627968582,0
225,42,39,0.100677165755649,0
226,42,40,0.037788442280310,0
227,42,41,0.100272271122989,0
228,42,43,0.112186305244115,0
229,42,70,0.127858083912454,0
230,42,74,0.125064954880666,0
231,42,134,0.000010817152638,0
232,42,138,0.121629409303090,0
233,42,147,0.143371078633555,0
234,43,39,0.106324299191037,0
235,43,42,0.112186305244115,0
236,43,134,0.139779343676769,0
237,44,37,0.116784318945831,0
238,44,39,0.138271280479224,0
239,44,147,0.080330203386572,0
240,45,52,0.197943658275364,0
241,45,55,0.118420618395194,0
242,45,65,0.101995051138696,0
243,45,136,0.097190053383075,0
244,45,179,0.000000000000000,1
245,45,180,0.121884654230822,0
246,46,47,0.139280827730251,0
247,46,66,0.160134582295912,0
248,46,136,0.140697229107418,0
249,46,169,0.137856826650010,0
250,47,46,0.139280827730251,0
251,47,48,0.112778488317820,0
252,47,49,0.097492789240329,0
253,47,92,0.060819587584430,0
254,47,135,0.058107258905547,0
255,47,136,0.104695276356372,0
256,47,168,0.066787447455285,0
257,47,169,0.079179218002314,0
258,48,47,0.112778488317820,0
259,48,62,0.069175712718893,0
260,48,127,0.000000000000000,1
261,48,128,0.018181911346232,0
262,48,135,0.116027964872772,0
263,48,168,0.129962558115877,0
264,49,40,0.032416724698687,0
265,49,47,0.097492789240329,0
266,49,50,0.047395690502805,0
267,49,51,0.012086150330567,0
268,49,53,0.018811855815236,0
269,49,54,0.069003950529925,0
270,49,55,0.014215163125835,0
271,49,56,0.028233034795091,0
272,49,60,0.002198773282145,0
273,49,61,0.010340346754552,0
274,49,92,0.038261778315205,0
275,49,93,0.062032855904712,0
276,49,136,0.030516080736582,0
277,50,40,0.108291430454424,0
278,50,49,0.047395690502805,0
279,50,56,0.069383380294400,0
280,50,61,0.079639423248158,0
281,50,70,0.036118249483194,0
282,51,49,0.012086150330567,0
283,51,53,0.070379005531857,0
284,51,54,0.027445983743710,0
285,51,55,0.002244984063447,0
286,51,136,0.066887348658195,0
287,51,137,0.007787591129721,0
288,52,45,0.197943658275364,0
289,52,55,0.095072911205175,0
290,52,56,0.062468865909806,0
291,52,70,0.053077160004586,0
292,52,179,0.104838678076116,0
293,52,180,0.000000000000000,1
294,52,182,0.245850419467056,0
295,52,183,0.062952852892541,0
296,53,49,0.018811855815236,0
297,53,51,0.070379005531857,0
298,53,54,0.033367826205011,0
299,53,55,0.132984606484821,0
300,53,137,0.034382215126639,0
301,54,49,0.069003950529925,0
302,54,51,0.027445983743710,0
303,54,53,0.033367826205011,0
304,54,137,0.009019728308140,0
305,55,45,0.118420618395194,0
306,55,49,0.014215163125835,0
307,55,51,0.002244984063447,0
308,55,52,0.095072911205175,0
309,55,53,0.132984606484821,0
310,55,56,0.040311983506077,0
311,55,136,0.039607965256127,0
312,56,49,0.028233034795091,0
313,56,50,0.069383380294400,0
314,56,52,0.062468865909806,0
315,56,55,0.040311983506077,0
316,56,60,0.095431281120461,0
317,56,61,0.000469568720899,0
318,56,70,0.071977932968279,0
319,57,58,0.119130999119263,0
320,57,59,0.092361353657511,0
321,57,63,0.174480274883976,0
322,57,64,0.120595438323477,0
323,58,57,0.119130999119263,0
324,58,59,0.163433083491358,0
325,58,64,0.034805349912803,0
326,58,65,0.117607955298719,0
327,58,66,0.226239061914489,0
328,58,136,0.000000000000000,1
329,59,7,0.009951820726126,0
330,59,57,0.092361353657511,0
331,59,58,0.163433083491358,0
332,59,63,0.130266732344448,0
333,59,65,0.074946160108047,0
334,60,49,0.002198773282145,0
335,60,56,0.095431281120461,0
336,60,61,0.059867803863835,0
337,61,49,0.010340346754552,0
338,61,50,0.079639423248158,0
339,61,56,0.000469568720899,0
340,61,60,0.059867803863835,0
341,62,48,0.069175712718893,0
342,62,92,0.013094480739677,0
343,62,93,0.089156864639807,0
344,62,128,0.193498714921025,0
345,62,135,0.089102103846716,0
346,63,7,0.272241419727079,0
347,63,57,0.174480274883976,0
348,63,59,0.130266732344448,0
349,63,64,0.056675401827361,0
350,63,79,0.113890215114128,0
351,63,90,0.164465331530501,0
352,63,91,0.039122355564858,0
353,64,57,0.120595438323477,0
354,64,58,0.034805349912803,0
355,64,63,0.056675401827361,0
356,64,66,0.052947096842705,0
357,64,91,0.192456800992660,0
358,64,169,0.147146757735104,0
359,65,7,0.121662171639000,0
360,65,45,0.101995051138696,0
361,65,58,0.117607955298719,0
362,65,59,0.074946160108047,0
363,65,66,0.000000000000000,1
364,65,94,0.010295912439230,0
365,65,136,0.117600893912419,0
366,65,180,0.098880022097239,0
367,66,46,0.160134582295912,0
368,66,58,0.226239061914489,0
369,66,64,0.052947096842705,0
370,66,65,0.000000000000000,1
371,66,136,0.099238280515260,0
372,66,169,0.158336166067098,0
373,67,74,0.124408208518965,0
374,67,85,0.161893796865032,0
375,67,161,0.259556499199579,0
376,67,171,0.144435070060505,0
377,67,173,0.091043478238342,0
378,67,188,0.093282394783780,0
379,68,88,0.010010984332690,0
380,68,89,0.041646608167955,0
381,68,173,0.080987121125557,0
382,68,187,0.025899119945428,0
