Class,CompletedDate,Latitude,Longitude,Installer
Single family,2017-03-29,47.56088276,-122.28925954,"ECOTECH ENERGY SYSTEMS, LLC"
Single family,2014-05-22,47.62325535,-122.31757932,ARTISAN ELECTRIC INC
Single family,2015-04-16,47.68602945,-122.29696912,SUNERGY SYSTEMS
Single family,2015-12-18,47.70907155,-122.35043611,SUNERGY SYSTEMS
Single family,2015-03-06,47.53263448,-122.36506959,PUGET SOUND SOLAR
Single family,2018-06-13,47.56974346,-122.30152445,NORTHWEST ELECTRIC & SOLAR
Single family,2014-04-09,47.55854023,-122.27673072,ARTISAN ELECTRIC INC
Single family,2013-08-05,47.66558189,-122.35800062,PUGET SOUND SOLAR
Single family,2013-09-20,47.54035231,-122.37550538,WEST SEATTLE ELECTRIC & SOLAR
Single family,2017-10-09,47.58803941,-122.30921649,WEST SEATTLE ELECTRIC & SOLAR
Single family,2015-08-20,47.67309901,-122.3295651,EARL CHILDS
Single family,2014-05-07,47.59186436,-122.29929426,ARTISAN ELECTRIC INC
Single family,2017-12-05,47.68790247,-122.37068283,PUGET SOUND SOLAR
Single family,2018-06-07,47.53681702,-122.26623491,PUGET SOUND SOLAR
Single family,2019-04-16,47.6299188,-122.30566623,PUGET SOUND SOLAR
Single family,2015-03-15,47.6620641,-122.32589062,SME INC OF SEATTLE
Multifamily,2014-02-10,47.55726465,-122.28391225,PUGET SOUND SOLAR
Single family,2009-01-30,47.52450306,-122.2607358,NORTHWEST MECHANICAL INC
Single family,2015-06-30,47.66921673,-122.29421406,SME INC OF SEATTLE
Single family,2013-06-06,47.5811945,-122.31157765,SME INC OF SEATTLE
Single family,2013-08-29,47.69160442,-122.36797429,ARTISAN ELECTRIC INC
Single family,2017-11-17,47.72677462,-122.29867878,SUNERGY SYSTEMS
Single family,2015-07-30,47.69733844,-122.32012298,A&R SOLAR
Single family,2016-07-25,47.65987998,-122.33227772,EARL CHILDS
Single family,2009-12-09,47.56087333,-122.39052319,SOLAR EPIPHANY LLC
Single family,2014-10-30,47.61841296,-122.28414713,PUGET SOUND SOLAR
Single family,2016-08-02,47.55495314,-122.28781643,SME INC OF SEATTLE
Single family,2016-02-10,47.50954833,-122.38758116,WEST SEATTLE ELECTRIC & SOLAR
Single family,2015-05-14,47.58003021,-122.30904802,PUGET SOUND SOLAR
Single family,2019-10-08,47.67913302,-122.30854731,"PINNACLE ROOFING PROFESSIONALS, LLC"
Single family,2016-03-25,47.69925448,-122.31548364,PUGET SOUND SOLAR
Single family,2006-07-28,47.64464464,-122.36191513,HARPER ELECTRIC INCORPORATED
Single family,2016-11-10,47.70805366,-122.36220387,EARL CHILDS
Single family,2014-04-08,47.61242048,-122.28748075,ARTISAN ELECTRIC INC
Single family,2018-11-20,47.71666512,-122.37261885,ARTISAN ELECTRIC INC
Single family,2014-11-26,47.70380376,-122.3499024,PUGET SOUND SOLAR
Single family,2013-12-06,47.55643387,-122.2782528,PUGET SOUND SOLAR
Single family,2013-03-06,47.66318849,-122.34830767,SUNERGY SYSTEMS
Single family,2017-04-06,47.60908124,-122.28339942,A&R SOLAR
Single family,2012-05-11,47.52227584,-122.35142119,EARL CHILDS
Single family,2014-12-11,47.68928282,-122.35645332,ARTISAN ELECTRIC INC
Single family,2016-09-05,47.67614857,-122.35508963,NORTHWEST ELECTRIC & SOLAR
Single family,2018-12-31,47.67797044,-122.37378723,A&R SOLAR
Single family,2015-07-10,47.54368183,-122.38901687,SUNERGY SYSTEMS
Single family,2017-02-01,47.72101447,-122.31056598,SUNERGY SYSTEMS
Single family,2019-12-09,47.57867432,-122.40642168,Smart Energy Today
Single family,2013-06-07,47.70118298,-122.37380616,ARTISAN ELECTRIC INC
Single family,2016-09-23,47.63671874,-122.35416832,SUNERGY SYSTEMS
Single family,2015-07-29,47.7272094,-122.3113094,A&R SOLAR
Single family,2013-11-08,47.51679802,-122.38408729,SUNERGY SYSTEMS
Single family,2011-12-05,47.5299643,-122.26452663,D SQUARE ENERGY LLC
Single family,2013-08-22,47.68377765,-122.38182845,PUGET SOUND SOLAR
Single family,2019-09-17,47.69833206,-122.31141926,NA
Single family,2018-11-08,47.5576585,-122.39660347,SUNERGY SYSTEMS
Single family,2016-11-22,47.54519844,-122.37944589,PUGET SOUND SOLAR
