City,Zip Code,Lat,Long,Year,Month,kW
Barre City,05641,44.20281,-72.51558,2010,8,3.19
Barre City,05641,44.23336,-72.50805,2018,6,3.6
Barre City,05641,44.19699,-72.516646,2017,11,3.6
Barre City,05641,44.19092,-72.48051,2017,5,3.6
Barre City,05641,44.19285,-72.47579,2016,9,3.6
Barre City,05641,44.2038,-72.50555,2016,8,3.6
Barre City,05641,44.19338,-72.516863,2016,7,3.6
Barre City,05641,44.195525,-72.516144,2015,3,3.66
Barre City,05641,44.18973,-72.47881,2013,8,3.73
Barre City,05641,44.20888,-72.50521,2012,12,3.73
Barre City,05641,44.18936,-72.47857,2018,8,3.8
Barre City,05641,44.201904999999996,-72.500235,2018,7,3.8
Barre City,05641,44.22266,-72.46082,2018,5,3.8
Barre City,05641,44.194122,-72.497246,2018,1,3.8
Barre City,05641,44.20418,-72.46854,2017,2,3.8
Barre City,05641,44.1917,-72.50614,2016,7,3.8
Barre City,05641,44.19269,-72.49109,2015,6,3.8
Barre City,05641,44.18523,-72.4748,2015,1,3.8
Barre City,05641,44.200704,-72.500213,2019,8,4
Barre City,05641,44.215308,-72.51931,2018,7,4
Barre City,05641,44.200738,-72.497039,2018,6,4
Barre City,05641,44.19127,-72.46941,2015,9,4
Barre City,05641,44.17370167,-72.49466183,2017,1,4.2
Barre City,05641,44.20007,-72.48716,2016,9,4.2
Barre City,05641,44.19745,-72.49137,2016,8,4.2
Barre City,05641,44.19329,-72.49084,2016,8,4.2
Barre City,05641,44.193565,-72.47196333,2016,7,4.2
Barre City,05641,44.2084,-72.51242,2013,10,4.35
Barre City,05641,44.18955,-72.4886,2013,10,4.35
Barre City,05641,44.207,-72.50754,2013,4,4.35
Barre City,05641,44.19603,-72.51539,2011,6,4.35
Barre City,05641,44.21887,-72.45801,2013,10,4.94
Barre City,05641,44.21471,-72.48783,2013,4,4.97
Barre City,05641,44.20375,-72.50137,2019,8,5
Barre City,05641,44.2194,-72.52078,2018,7,5
Barre City,05641,44.2075195,-72.4921935,2018,6,5
Barre City,05641,44.184,-72.47145,2017,11,5
Barre City,05641,44.22925567,-72.54569567,2017,10,5
Barre City,05641,44.19406,-72.51721,2017,4,5
Barre City,05641,44.2038,-72.47782,2017,1,5
Barre City,05641,44.18055,-72.46983,2016,11,5
Barre City,05641,44.19276,-72.49773,2016,11,5
Barre City,05641,44.17466,-72.49344,2016,8,5
Barre City,05641,44.197725,-72.512568,2016,7,5
Barre City,05641,44.197945,-72.521812,2016,3,5
Barre City,05641,44.192682,-72.490284,2016,3,5
Barre City,05641,44.197828,-72.512849,2016,1,5
Barre City,05641,44.19188,-72.51902,2015,12,5
Barre City,05641,44.195698,-72.515441,2015,2,5
Barre City,05641,44.1998,-72.4969,2014,12,5
Barre City,05641,44.23477,-72.51148,2014,10,5
Barre City,05641,44.20039317,-72.4915425,2019,1,5
Barre City,05641,44.162605,-72.511651,2019,6,5
Barre City,05641,44.198586,-72.498902,2017,9,5.2
Barre City,05641,44.19098833,-72.499085,2017,6,5.2
Barre City,05641,44.14788167,-72.45781467,2013,12,5.51
Barre City,05641,44.20099,-72.48423,2014,3,5.59
Barre City,05641,44.170336,-72.500837,2013,10,5.59
Barre City,05641,44.19380333,-72.516145,2018,12,6
Barre City,05641,44.19672,-72.51902,2017,3,6
Barre City,05641,44.200389,-72.500505,2017,2,6
Barre City,05641,44.20832,-72.50604,2017,2,6
Barre City,05641,44.198823,-72.487118,2016,11,6
Barre City,05641,44.192271,-72.486915,2016,10,6
Barre City,05641,44.201071,-72.487745,2016,10,6
Barre City,05641,44.194952,-72.517926,2016,10,6
Barre City,05641,44.193873,-72.515036,2016,10,6
Barre City,05641,44.19085,-72.47967,2016,10,6
Barre City,05641,44.17458,-72.49912,2016,10,6
Barre City,05641,44.19599,-72.51818,2016,9,6
Barre City,05641,44.19403383,-72.472621,2016,9,6
Barre City,05641,44.18098,-72.49725,2016,9,6
Barre City,05641,44.19994,-72.4847,2016,8,6
Barre City,05641,44.192228,-72.517752,2016,8,6
Barre City,05641,44.193672,-72.509843,2016,8,6
Barre City,05641,44.193074,-72.515347,2016,7,6
Barre City,05641,44.19318417,-72.473404,2016,4,6
Barre City,05641,44.198462,-72.514277,2016,3,6
Barre City,05641,44.203642,-72.478915,2014,12,6
Barre City,05641,44.17174,-72.4993,2014,10,6
Barre City,05641,44.22287,-72.51115,2014,9,6
Barre City,05641,44.21366,-72.48845,2019,1,6
Barre City,05641,44.19926,-72.53096,2014,2,6.27
Barre City,05641,44.18635,-72.48005,2017,12,6.6
Barre City,05641,44.15912506,-72.45717384,2017,6,6.6
Barre City,05641,44.20875,-72.50826,2017,4,6.6
Barre City,05641,44.21481,-72.48663,2017,3,6.6
Barre City,05641,44.198149,-72.48741,2016,9,6.6
Barre City,05641,44.1928,-72.51548,2016,7,6.6
Barre City,05641,44.193428,-72.485668,2016,8,6.8
Barre City,05641,44.19945983,-72.48601683,2014,11,6.8
Barre City,05641,44.22011183,-72.46821067,2014,7,6.8
Barre City,05641,44.20320734,-72.48547422,2017,9,7
Barre City,05641,44.15409,-72.45217,2015,12,7
Barre City,05641,44.20422,-72.47942,2014,6,7
Barre City,05641,44.173797,-72.497756,2013,6,7.04
Barre City,05641,44.16874,-72.50407,2017,1,7.36
Barre City,05641,44.191312,-72.490776,2016,11,7.5
Barre City,05641,44.193501,-72.485127,2016,10,7.5
Barre City,05641,44.22484,-72.50917,2016,9,7.5
Barre City,05641,44.20867,-72.4867,2018,8,7.6
Barre City,05641,44.2237405,-72.4553225,2018,4,7.6
Barre City,05641,44.15349,-72.51772,2018,1,7.6
Barre City,05641,44.19431,-72.47934,2017,12,7.6
Barre City,05641,44.194,-72.51561,2017,9,7.6
Barre City,05641,44.200275,-72.492441,2017,1,7.6
Barre City,05641,44.19467,-72.4792,2016,12,7.6
Barre City,05641,44.18137,-72.49964,2016,12,7.6
Barre City,05641,44.196111,-72.514816,2016,11,7.6
Barre City,05641,44.1709,-72.50291,2016,8,7.6
Barre City,05641,44.18933683,-72.47460867,2016,4,7.6
Barre City,05641,44.20353,-72.50147,2018,11,7.6
Barre City,05641,44.18619,-72.48068,2018,11,7.6
Barre City,05641,44.18673333,-72.48496,2019,6,7.6
Barre City,05641,44.21731,-72.4744,2016,10,8
Barre City,05641,44.192918,-72.495692,2015,1,8
Barre City,05641,44.195262,-72.50696,2016,7,8.2
Barre City,05641,44.202546,-72.479521,2015,2,8.8
Barre City,05641,44.226458,-72.519767,2018,6,9
Barre City,05641,44.19414,-72.47353,2016,11,9
Barre City,05641,44.20660367,-72.45673817,2016,3,9
Barre City,05641,44.20467,-72.48271,2018,10,9
Barre City,05641,44.21317,-72.49092,2013,4,9.94
Barre City,05641,44.17142,-72.507117,2017,12,10
Barre City,05641,44.22792433,-72.51630133,2017,10,10
Barre City,05641,44.19217,-72.46885,2017,6,10
Barre City,05641,44.201762,-72.576383,2017,6,10
Barre City,05641,44.18148,-72.51267,2016,11,10
Barre City,05641,44.20191083,-72.487752,2016,10,10
Barre City,05641,44.19979,-72.48573,2016,8,10
Barre City,05641,44.19253,-72.51775,2016,3,10
Barre City,05641,44.21689233,-72.45783283,2015,5,10
Barre City,05641,44.18929,-72.47005,2014,8,10
Barre City,05641,44.18244,-72.49521,2019,1,10
Barre City,05641,44.201111,-72.488339,2019,5,10
Barre City,05641,44.18355,-72.49713,2018,12,10.03
Barre City,05641,44.183602,-72.498703,2017,12,10.4
Barre City,05641,44.19313,-72.4846,2017,10,10.4
Barre City,05641,44.18074,-72.47055,2017,9,10.4
Barre City,05641,44.19897,-72.48392,2016,7,11
Barre City,05641,44.202864,-72.48617483,2012,10,11.18
Barre City,05641,44.205058,-72.4804,2018,2,11.4
Barre City,05641,44.19397,-72.46832,2016,8,11.4
Barre City,05641,44.22176,-72.50952,2016,10,12
