"","GEOID","City","Unit","Area","PopDensity","HomeOwn","SingleFamily","Edu","HomeValue","Income","White","Wealth","Gini"
"33","5000362875","Sandgate",163,109355594.429746,3.7766700657032e-06,0.883435582822086,0.734042553191489,0.348684210526316,170700,51979,0.854721549636804,0.761670761670762,0.4127
"34","5000363175","Searsburg",55,55775857.9964352,1.97217943302693e-06,0.854545454545454,0.538461538461538,0.172413793103448,105700,40625,0.863636363636364,0.645454545454546,0.4022
"35","5000363550","Shaftsbury",1283,111665703.059672,3.087787839528e-05,0.901792673421668,0.88390243902439,0.479738027015964,247200,85337,0.987529002320186,0.824825986078886,0.3853
"36","5000369775","Stamford",373,102427583.401213,9.58726123756593e-06,0.93029490616622,0.75,0.251088534107402,196800,68594,0.977596741344195,0.857433808553971,0.443
"37","5000371425","Sunderland",414,118004312.498956,8.20309003544734e-06,0.915458937198068,0.694029850746269,0.328063241106719,225000,60556,0.955578512396694,0.878099173553719,0.4165
"38","5000385075","Winhall",347,113862243.938456,6.52542910011154e-06,0.9164265129683,0.75,0.404676258992806,271300,54306,0.866756393001346,0.960969044414536,0.3598
"39","5000385675","Woodford",146,123028262.361128,2.60102836420379e-06,0.876712328767123,0.588235294117647,0.235537190082645,160900,51429,0.971875,0.71875,0.3809
"40","5000502875","Barnet",619,112604985.994386,1.38892606414247e-05,0.903069466882068,0.763888888888889,0.363713798977853,174400,55729,0.968030690537084,0.809960681520315,0.4265
"41","5000510450","Burke",655,87919683.8616835,1.7061025860373e-05,0.819847328244275,0.701570680628272,0.312037037037037,196400,52679,0.941333333333333,0.730486991327552,0.4526
"42","5000517125","Danville",984,158210160.998702,1.39434786367362e-05,0.776422764227642,0.788851351351351,0.389684813753582,2e+05,59865,0.953309156844968,0.881233000906618,0.4639
"43","5000530550","Groton",402,142116497.523668,6.92389706435118e-06,0.810945273631841,0.566115702479339,0.201963534361851,158200,53077,0.943089430894309,0.789690721649485,0.4399
"44","5000531825","Hardwick",1349,100890904.207786,2.86348905551494e-05,0.749444032616753,0.598853868194842,0.221727515583259,119000,44666,0.936310141917619,0.817583939079266,0.3857
"45","5000537900","Kirby",225,63083344.3813933,9.17833392756486e-06,0.862222222222222,0.767857142857143,0.423857868020305,219500,62422,0.981001727115717,0.854922279792746,0.4214
"46","5000541725","Lyndon",2166,102904229.271622,5.63533689630304e-05,0.623730378578024,0.788983708301009,0.278660121282125,169700,50553,0.962062424555958,0.770051438369213,0.5336
"47","5000547725","Newark",213,96320638.9853765,5.76200496431778e-06,0.910798122065728,0.784313725490196,0.264563106796116,167500,52279,0.972972972972973,0.726775956284153,0.3886
"48","5000554400","Peacham",273,123588638.767957,5.67204240606744e-06,0.875457875457875,0.812865497076023,0.561224489795918,249100,75250,0.965763195435093,0.847482014388489,0.5646
"49","5000561525","Ryegate",410,95062622.6605242,1.11610638367186e-05,0.795121951219512,0.66887417218543,0.344327176781003,161100,57000,0.966069745523091,0.78344562078922,0.39
"50","5000562200","St. Johnsbury",3119,95038430.3975723,7.60113563511096e-05,0.577428663033023,0.54908306364617,0.259921008087267,147400,38371,0.968576965669989,0.676298034614256,0.4309
"51","5000564075","Sheffield",263,84854712.8490066,7.25946714469627e-06,0.885931558935361,0.75,0.212765957446809,136300,59750,0.969155844155844,0.787337662337662,0.3767
"52","5000569925","Stannard",104,32338551.4704485,7.63794260314079e-06,0.923076923076923,0.626865671641791,0.308510638297872,135400,58333,0.906882591093117,0.785425101214575,0.4318
"53","5000571575","Sutton",367,98959622.6439465,1.12268010964163e-05,0.82016348773842,0.723549488054608,0.245098039215686,208100,62750,0.946894689468947,0.835753176043557,0.346
"54","5000575700","Walden",429,100243861.282632,9.98564886858994e-06,0.902097902097902,0.728682170542636,0.265013054830287,159100,55469,0.952047952047952,0.846153846153846,0.4225
"55","5000577125","Waterford",543,102675611.654193,1.40637097431017e-05,0.917127071823204,0.798525798525799,0.327184466019417,219400,75972,0.942520775623269,0.922486033519553,0.4035
"56","5000583500","Wheelock",313,102915617.248471,7.31667379676711e-06,0.859424920127795,0.8,0.233221476510067,157800,66875,0.961487383798141,0.838620689655172,0.4757
"57","5000706550","Bolton",516,109948066.757128,1.12780518709722e-05,0.815891472868217,0.596273291925466,0.456344586728754,195400,85500,0.942741935483871,0.934412955465587,0.3159
"58","5000710675","Burlington",16552,39912920.0259453,0.00106594556279881,0.358446109231513,0.495478901540522,0.532588454376164,284500,51394,0.852838171347984,0.639113297738518,0.4957
"59","5000713300","Charlotte",1462,130207524.389686,2.93377822664647e-05,0.909712722298222,0.905042016806723,0.698550724637681,538100,108611,0.970680628272251,0.941887983171181,0.4917
"60","5000714875","Colchester",6849,151356671.318083,0.000114319374556256,0.687399620382538,0.616717635066259,0.430521871912333,265000,71090,0.931110212101948,0.850951511991658,0.4345
"61","5000724175","Essex",8830,101547335.686794,0.000211398948626397,0.705662514156285,0.707144092717523,0.521960705424797,301000,84588,0.871011319700005,0.894808231992516,0.4155
"62","5000733475","Hinesburg",1870,102709956.137329,4.42118775119369e-05,0.74331550802139,0.680161943319838,0.45125786163522,341300,72606,0.992512662409161,0.870867539383182,0.4601
"63","5000734600","Huntington",805,98250825.0929412,2.00100100751342e-05,0.921739130434783,0.871268656716418,0.477570738440304,279400,87390,0.954221770091557,0.928681375064136,0.3746
"64","5000736700","Jericho",1975,91862630.2701345,5.47556714325358e-05,0.891645569620253,0.801526717557252,0.61044992743106,320300,100110,0.973359840954274,0.918091451292247,0.3771
"65","5000745250","Milton",4337,157346995.270568,6.9159248839088e-05,0.794558450541849,0.597950572634117,0.254248115497636,248800,84992,0.972523433192428,0.865717192268566,0.3643
"66","5000759275","Richmond",1647,84631102.6525254,4.89772656870413e-05,0.800242865816636,0.804566210045662,0.597384234711912,331100,100637,0.958262967430639,0.914174568441527,0.3448
"67","5000762050","St. George",248,9419423.38226492,6.30611849466704e-05,0.879032258064516,0.493975903614458,0.305164319248826,257900,64722,0.968013468013468,0.888888888888889,0.4257
"68","5000764300","Shelburne",3171,116320801.557095,6.63423901546292e-05,0.7360454115421,0.706542056074766,0.672604203776274,386900,96165,0.958792276791499,0.907905138339921,0.4468
